Trip ID	Trip Frequency	Leg Number	Leg ID	Leg Distance	O_ID	O_Name	O_City	O_State	O_Zip	O_Layover Time	O_Wait Time	O_Break Time	Pickup Time	Pickup Date	Pickup Service	Travel Time	D_ID	D_Name	D_City	D_State	D_Zip	D_Layover Time	D_Wait Time	D_Break Time	Delivery Time	Delivery Date	Delivery Service	Leg Type	Leg Load	Leg Yield	Leg Fuel Cost	Leg Tolls Cost	Leg Blended Cost	Leg Total Cost	Leg Savings	Equipment Type	Period #	Tractor	Trailer	Driver	Order Number	Calc Source	Load Factor	ODFamily Id	Customer Id	Lane Volume	Unmatched Freq.	Laneid
295	1	1	2809	794.00	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	06:14	2/21/2022	00:30	17:39	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:30	00:53	2/22/2022	00:30	LOADED	0.00	0.00	372.46	0.00	794.00	1404.66	-1404.66		0					U	0.99	2809		0.00	0	402
295	1	2	4794	801.00	ATGA		ELLENWOOD	GA	30294	00:00	01:37	00:00	03:00	2/22/2022	00:30	17:48	SDNC		DALLAS	TX	75241	00:00	00:00	00:00	21:18	2/22/2022	00:30	LOADED	0.00	0.00	375.74	0.00	801.00	1417.04	-1417.04		0					U	0.99	4794		0.00	0	666
295	1	3	SDNC:DALL	11.90	SDNC		DALLAS	TX	75241	00:00	00:00	00:00	21:48	2/22/2022	00:00	00:20	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	22:08	2/22/2022	00:00	EMPTY	0.00	0.00	5.58	0.00	11.90	21.05			0					P	0.99					
30	1	1	2803	794.00	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	06:14	2/14/2022	00:30	17:39	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:30	00:53	2/15/2022	00:30	LOADED	0.00	0.00	372.46	0.00	794.00	1404.66	-1404.66		0					U	0.99	2803		0.00	0	402
30	1	2	4788	801.00	ATGA		ELLENWOOD	GA	30294	00:00	01:37	00:00	03:00	2/15/2022	00:30	17:48	SDNC		DALLAS	TX	75241	00:00	00:00	00:00	21:18	2/15/2022	00:30	LOADED	0.00	0.00	375.74	0.00	801.00	1417.04	-1417.04		0					U	0.99	4788		0.00	0	666
30	1	3	SDNC:DALL	11.90	SDNC		DALLAS	TX	75241	00:00	00:00	00:00	21:48	2/15/2022	00:00	00:20	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	22:08	2/15/2022	00:00	EMPTY	0.00	0.00	5.58	0.00	11.90	21.05			0					P	0.99					
410	1	1	217	940.00	OLIV		OLIVE BRANCH	MS	38654	00:00	00:00	00:00	02:07	2/23/2022	00:30	20:53	EHRB		MIDDLETOWN	PA	17057	00:00	00:00	00:30	00:00	2/24/2022	00:30	LOADED	0.00	0.00	440.95	0.00	940.00	1662.95	-1662.95		0					U	0.99	217		0.00	0	24
410	1	2	EHRB:HRBG	17.50	EHRB		MIDDLETOWN	PA	17057	00:00	00:00	00:00	00:30	2/24/2022	00:00	00:24	HRBG		LEWISBERRY	PA	17339	00:00	00:00	00:00	00:54	2/24/2022	00:00	EMPTY	0.00	0.00	8.21	0.00	17.50	30.96			0					P	0.99					
410	1	3	5416	939.00	HRBG		LEWISBERRY	PA	17339	00:00	00:06	00:00	01:00	2/24/2022	00:30	20:52	OLIV		OLIVE BRANCH	MS	38654	00:00	00:00	00:00	22:22	2/24/2022	00:30	LOADED	0.00	0.00	440.48	0.00	939.00	1661.18	-1661.18		0					U	0.99	5416		0.00	0	752
145	1	1	212	940.00	OLIV		OLIVE BRANCH	MS	38654	00:00	00:00	00:00	02:07	2/16/2022	00:30	20:53	EHRB		MIDDLETOWN	PA	17057	00:00	00:00	00:30	00:00	2/17/2022	00:30	LOADED	0.00	0.00	440.95	0.00	940.00	1662.95	-1662.95		0					U	0.99	212		0.00	0	24
145	1	2	EHRB:HRBG	17.50	EHRB		MIDDLETOWN	PA	17057	00:00	00:00	00:00	00:30	2/17/2022	00:00	00:24	HRBG		LEWISBERRY	PA	17339	00:00	00:00	00:00	00:54	2/17/2022	00:00	EMPTY	0.00	0.00	8.21	0.00	17.50	30.96			0					P	0.99					
145	1	3	5410	939.00	HRBG		LEWISBERRY	PA	17339	00:00	00:06	00:00	01:00	2/17/2022	00:30	20:52	OLIV		OLIVE BRANCH	MS	38654	00:00	00:00	00:00	22:22	2/17/2022	00:30	LOADED	0.00	0.00	440.48	0.00	939.00	1661.18	-1661.18		0					U	0.99	5410		0.00	0	752
85	1	1	3899	915.00	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:00	02:08	2/15/2022	00:30	20:20	ORLA		ORLANDO	FL	32809	00:00	00:00	00:30	23:28	2/15/2022	00:30	LOADED	0.00	0.00	429.22	0.00	915.00	1618.72	-1618.72		0					U	0.98	3899		0.00	0	560
85	1	2	ORLA:DAVE	29.40	ORLA		ORLANDO	FL	32809	00:00	00:00	00:00	23:58	2/15/2022	00:00	00:50	DAVE		DAVENPORT	FL	33897	00:00	00:00	00:00	00:48	2/16/2022	00:00	EMPTY	0.00	0.00	13.79	0.00	29.40	52.01			0					P	0.98					
85	1	3	5092	939.00	DAVE		DAVENPORT	FL	33897	00:00	00:12	00:00	01:00	2/16/2022	00:30	20:52	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:00	22:22	2/16/2022	00:30	LOADED	0.00	0.00	440.48	0.00	939.00	1661.18	-1661.18		0					U	0.98	5092		0.00	0	701
350	1	1	3900	915.00	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:00	02:08	2/22/2022	00:30	20:20	ORLA		ORLANDO	FL	32809	00:00	00:00	00:30	23:28	2/22/2022	00:30	LOADED	0.00	0.00	429.22	0.00	915.00	1618.72	-1618.72		0					U	0.98	3900		0.00	0	560
350	1	2	ORLA:DAVE	29.40	ORLA		ORLANDO	FL	32809	00:00	00:00	00:00	23:58	2/22/2022	00:00	00:50	DAVE		DAVENPORT	FL	33897	00:00	00:00	00:00	00:48	2/23/2022	00:00	EMPTY	0.00	0.00	13.79	0.00	29.40	52.01			0					P	0.98					
350	1	3	5099	939.00	DAVE		DAVENPORT	FL	33897	00:00	00:12	00:00	01:00	2/23/2022	00:30	20:52	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:00	22:22	2/23/2022	00:30	LOADED	0.00	0.00	440.48	0.00	939.00	1661.18	-1661.18		0					U	0.98	5099		0.00	0	701
420	1	1	3805	929.00	CHIC		BEDFORD PARK	IL	60638	00:00	00:00	00:00	06:07	2/23/2022	00:30	20:39	DALL		HUTCHINS	TX	75141	00:00	00:00	00:30	03:46	2/24/2022	00:30	LOADED	0.00	0.00	435.79	0.00	929.00	1643.49	-1643.49		0					U	0.98	3805		0.00	0	546
420	1	2	DALL:FTWO	42.30	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	04:16	2/24/2022	00:00	00:56	FTWO		FORT WORTH	TX	76119	00:00	00:00	00:00	05:12	2/24/2022	00:00	EMPTY	0.00	0.00	19.84	0.00	42.30	74.83			0					P	0.98					
420	1	3	3052	961.00	FTWO		FORT WORTH	TX	76119	00:00	01:48	00:00	07:00	2/24/2022	00:30	21:21	NOKY		INDEPENDENCE	KY	41051	00:00	00:00	00:00	04:51	2/25/2022	00:30	LOADED	0.00	0.00	450.80	0.00	961.00	1700.10	-1700.10		0					U	0.98	3052		0.00	0	432
420	1	4	3427	305.00	NOKY		INDEPENDENCE	KY	41051	00:00	00:00	00:00	05:21	2/25/2022	00:30	06:47	CHIC		BEDFORD PARK	IL	60638	00:00	00:00	00:00	12:38	2/25/2022	00:30	LOADED	0.00	0.00	143.07	0.00	305.00	539.57	-539.57		0					U	0.98	3427		0.00	0	475
155	1	1	3800	929.00	CHIC		BEDFORD PARK	IL	60638	00:00	00:00	00:00	06:07	2/16/2022	00:30	20:39	DALL		HUTCHINS	TX	75141	00:00	00:00	00:30	03:46	2/17/2022	00:30	LOADED	0.00	0.00	435.79	0.00	929.00	1643.49	-1643.49		0					U	0.98	3800		0.00	0	546
155	1	2	DALL:FTWO	42.30	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	04:16	2/17/2022	00:00	00:56	FTWO		FORT WORTH	TX	76119	00:00	00:00	00:00	05:12	2/17/2022	00:00	EMPTY	0.00	0.00	19.84	0.00	42.30	74.83			0					P	0.98					
155	1	3	3047	961.00	FTWO		FORT WORTH	TX	76119	00:00	01:48	00:00	07:00	2/17/2022	00:30	21:21	NOKY		INDEPENDENCE	KY	41051	00:00	00:00	00:00	04:51	2/18/2022	00:30	LOADED	0.00	0.00	450.80	0.00	961.00	1700.10	-1700.10		0					U	0.98	3047		0.00	0	432
155	1	4	3421	305.00	NOKY		INDEPENDENCE	KY	41051	00:00	00:00	00:00	05:21	2/18/2022	00:30	06:47	CHIC		BEDFORD PARK	IL	60638	00:00	00:00	00:00	12:38	2/18/2022	00:30	LOADED	0.00	0.00	143.07	0.00	305.00	539.57	-539.57		0					U	0.98	3421		0.00	0	475
390	1	1	3601	651.00	TOLE		PERRYSBURG	OH	43551	00:00	00:00	00:00	03:23	2/23/2022	00:30	14:28	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:30	18:51	2/23/2022	00:30	LOADED	0.00	0.00	305.38	0.00	651.00	1151.68	-1151.68		0					U	0.97	3601		0.00	0	511
390	1	2	ATGA:ASTE	38.20	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:00	19:21	2/23/2022	00:00	00:51	ASTE		AUSTELL	GA	30168	00:00	00:00	00:00	20:12	2/23/2022	00:00	EMPTY	0.00	0.00	17.92	0.00	38.20	67.58			0					P	0.97					
390	1	3	4926	632.00	ASTE		AUSTELL	GA	30168	00:00	00:48	00:00	21:00	2/23/2022	00:30	14:03	TOLE		PERRYSBURG	OH	43551	00:00	00:00	00:00	11:33	2/24/2022	00:30	LOADED	0.00	0.00	296.47	0.00	632.00	1118.07	-1118.07		0					U	0.97	4926		0.00	0	681
125	1	1	3598	651.00	TOLE		PERRYSBURG	OH	43551	00:00	00:00	00:00	03:23	2/16/2022	00:30	14:28	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:30	18:51	2/16/2022	00:30	LOADED	0.00	0.00	305.38	0.00	651.00	1151.68	-1151.68		0					U	0.97	3598		0.00	0	511
125	1	2	ATGA:ASTE	38.20	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:00	19:21	2/16/2022	00:00	00:51	ASTE		AUSTELL	GA	30168	00:00	00:00	00:00	20:12	2/16/2022	00:00	EMPTY	0.00	0.00	17.92	0.00	38.20	67.58			0					P	0.97					
125	1	3	4921	632.00	ASTE		AUSTELL	GA	30168	00:00	00:48	00:00	21:00	2/16/2022	00:30	14:03	TOLE		PERRYSBURG	OH	43551	00:00	00:00	00:00	11:33	2/17/2022	00:30	LOADED	0.00	0.00	296.47	0.00	632.00	1118.07	-1118.07		0					U	0.97	4921		0.00	0	681
249	1	1	3962	979.00	ELON		WHITSETT	NC	27377	00:00	00:00	00:00	03:04	2/18/2022	00:30	21:45	KCMO		KANSAS CITY	MO	64161	00:00	00:00	00:30	01:49	2/19/2022	00:30	LOADED	0.00	0.00	459.24	0.00	979.00	1731.94	-1731.94		0					U	0.95	3962		0.00	0	570
249	1	2	2575	957.00	KCMO		KANSAS CITY	MO	64161	00:00	01:41	00:00	04:00	2/19/2022	00:30	21:16	NCRS		CHARLOTTE	NC	28269	00:00	00:00	00:00	01:46	2/20/2022	00:30	LOADED	0.00	0.00	448.92	0.00	957.00	1693.02	-1693.02		0					U	0.95	2575		0.00	0	378
249	1	3	NCRS:ELON	96.70	NCRS		CHARLOTTE	NC	28269	00:00	00:00	00:00	02:16	2/20/2022	00:00	02:09	ELON		WHITSETT	NC	27377	00:00	00:00	00:00	04:25	2/20/2022	00:00	EMPTY	0.00	0.00	45.36	0.00	96.70	171.07			0					P	0.95					
514	1	1	3966	979.00	ELON		WHITSETT	NC	27377	00:00	00:00	00:00	03:04	2/25/2022	00:30	21:45	KCMO		KANSAS CITY	MO	64161	00:00	00:00	00:30	01:49	2/26/2022	00:30	LOADED	0.00	0.00	459.24	0.00	979.00	1731.94	-1731.94		0					U	0.95	3966		0.00	0	570
514	1	2	2580	957.00	KCMO		KANSAS CITY	MO	64161	00:00	01:41	00:00	04:00	2/26/2022	00:30	21:16	NCRS		CHARLOTTE	NC	28269	00:00	00:00	00:00	01:46	2/27/2022	00:30	LOADED	0.00	0.00	448.92	0.00	957.00	1693.02	-1693.02		0					U	0.95	2580		0.00	0	378
514	1	3	NCRS:ELON	96.70	NCRS		CHARLOTTE	NC	28269	00:00	00:00	00:00	02:16	2/27/2022	00:00	02:09	ELON		WHITSETT	NC	27377	00:00	00:00	00:00	04:25	2/27/2022	00:00	EMPTY	0.00	0.00	45.36	0.00	96.70	171.07			0					P	0.95					
440	1	1	3636	959.00	NCIN		LEBANON	OH	45036	00:00	00:00	00:00	21:05	2/23/2022	00:30	21:19	DALL		HUTCHINS	TX	75141	00:00	00:00	00:30	19:24	2/24/2022	00:30	LOADED	0.00	0.00	449.86	0.00	959.00	1696.56	-1696.56		0					U	0.95	3636		0.00	0	518
440	1	2	DALL:IRVG	30.00	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	19:54	2/24/2022	00:00	00:42	IRVG		IRVING	TX	75062	00:00	00:00	00:00	20:36	2/24/2022	00:00	EMPTY	0.00	0.00	14.07	0.00	30.00	53.07			0					P	0.95					
440	1	3	2734	1484.00	IRVG		IRVING	TX	75062	00:00	00:24	00:00	21:00	2/24/2022	00:30	32:59	LEHI		NORTHAMPTON	PA	18067	00:00	00:00	00:00	06:29	2/26/2022	00:30	LOADED	0.00	0.00	696.13	0.00	1484.00	2625.33	-2625.33		0					U	0.95	2734		0.00	0	394
440	1	4	LEHI:METU	69.60	LEHI		NORTHAMPTON	PA	18067	00:00	00:00	00:00	06:59	2/26/2022	00:00	01:35	METU		EDISON	NJ	08817	00:00	00:00	00:00	08:34	2/26/2022	00:00	EMPTY	0.00	0.00	32.65	0.00	69.60	123.13			0					P	0.95					
440	1	5	5176	521.00	METU		EDISON	NJ	08817	00:00	00:00	00:00	08:34	2/26/2022	00:30	11:35	COLO		GROVE CITY	OH	43123	00:00	00:00	00:00	20:39	2/26/2022	00:30	LOADED	0.00	0.00	244.40	0.00	521.00	921.70	-921.70		0					U	0.95	5176		0.00	0	711
440	1	6	COLO:NCIN	72.90	COLO		GROVE CITY	OH	43123	00:00	00:00	00:00	21:09	2/26/2022	00:00	01:37	NCIN		LEBANON	OH	45036	00:00	00:00	00:00	22:46	2/26/2022	00:00	EMPTY	0.00	0.00	34.20	0.00	72.90	128.97			0					P	0.95					
175	1	1	3631	959.00	NCIN		LEBANON	OH	45036	00:00	00:00	00:00	21:05	2/16/2022	00:30	21:19	DALL		HUTCHINS	TX	75141	00:00	00:00	00:30	19:24	2/17/2022	00:30	LOADED	0.00	0.00	449.86	0.00	959.00	1696.56	-1696.56		0					U	0.95	3631		0.00	0	518
175	1	2	DALL:IRVG	30.00	DALL		HUTCHINS	TX	75141	00:00	00:00	00:00	19:54	2/17/2022	00:00	00:42	IRVG		IRVING	TX	75062	00:00	00:00	00:00	20:36	2/17/2022	00:00	EMPTY	0.00	0.00	14.07	0.00	30.00	53.07			0					P	0.95					
175	1	3	2728	1484.00	IRVG		IRVING	TX	75062	00:00	00:24	00:00	21:00	2/17/2022	00:30	32:59	LEHI		NORTHAMPTON	PA	18067	00:00	00:00	00:00	06:29	2/19/2022	00:30	LOADED	0.00	0.00	696.13	0.00	1484.00	2625.33	-2625.33		0					U	0.95	2728		0.00	0	394
175	1	4	LEHI:METU	69.60	LEHI		NORTHAMPTON	PA	18067	00:00	00:00	00:00	06:59	2/19/2022	00:00	01:35	METU		EDISON	NJ	08817	00:00	00:00	00:00	08:34	2/19/2022	00:00	EMPTY	0.00	0.00	32.65	0.00	69.60	123.13			0					P	0.95					
175	1	5	5171	521.00	METU		EDISON	NJ	08817	00:00	00:00	00:00	08:34	2/19/2022	00:30	11:35	COLO		GROVE CITY	OH	43123	00:00	00:00	00:00	20:39	2/19/2022	00:30	LOADED	0.00	0.00	244.40	0.00	521.00	921.70	-921.70		0					U	0.95	5171		0.00	0	711
175	1	6	COLO:NCIN	72.90	COLO		GROVE CITY	OH	43123	00:00	00:00	00:00	21:09	2/19/2022	00:00	01:37	NCIN		LEBANON	OH	45036	00:00	00:00	00:00	22:46	2/19/2022	00:00	EMPTY	0.00	0.00	34.20	0.00	72.90	128.97			0					P	0.95					
400	1	1	4421	652.00	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:00	05:23	2/23/2022	00:30	14:29	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:30	20:52	2/23/2022	00:30	LOADED	0.00	0.00	305.85	0.00	652.00	1153.45	-1153.45		0					U	0.94	4421		0.00	0	619
400	1	2	HAGE:HRBG	82.60	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:00	21:22	2/23/2022	00:00	01:50	HRBG		LEWISBERRY	PA	17339	00:00	00:00	00:00	23:12	2/23/2022	00:00	EMPTY	0.00	0.00	38.75	0.00	82.60	146.13			0					P	0.94					
400	1	3	5386	729.00	HRBG		LEWISBERRY	PA	17339	00:00	01:48	00:00	01:00	2/24/2022	00:30	16:12	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:00	17:42	2/24/2022	00:30	LOADED	0.00	0.00	341.97	0.00	729.00	1289.67	-1289.67		0					U	0.94	5386		0.00	0	749
135	1	1	4416	652.00	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:00	05:23	2/16/2022	00:30	14:29	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:30	20:52	2/16/2022	00:30	LOADED	0.00	0.00	305.85	0.00	652.00	1153.45	-1153.45		0					U	0.94	4416		0.00	0	619
135	1	2	HAGE:HRBG	82.60	HAGE		HAGERSTOWN	MD	21740	00:00	00:00	00:00	21:22	2/16/2022	00:00	01:50	HRBG		LEWISBERRY	PA	17339	00:00	00:00	00:00	23:12	2/16/2022	00:00	EMPTY	0.00	0.00	38.75	0.00	82.60	146.13			0					P	0.94					
135	1	3	5382	729.00	HRBG		LEWISBERRY	PA	17339	00:00	01:48	00:00	01:00	2/17/2022	00:30	16:12	ATGA		ELLENWOOD	GA	30294	00:00	00:00	00:00	17:42	2/17/2022	00:30	LOADED	0.00	0.00	341.97	0.00	729.00	1289.67	-1289.67		0					U	0.94	5382		0.00	0	749
