Trip ID	Trip Frequency	Leg Number	Leg ID	Leg Distance	O_ID	O_Name	O_City	O_State	O_Zip	O_Layover Time	O_Wait Time	O_Break Time	Pickup Time	Pickup Date	Pickup Service	Travel Time	D_ID	D_Name	D_City	D_State	D_Zip	D_Layover Time	D_Wait Time	D_Break Time	Delivery Time	Delivery Date	Delivery Service	Leg Type	Leg Load	Leg Yield	Leg Fuel Cost	Leg Tolls Cost	Leg Blended Cost	Leg Total Cost	Leg Savings	Equipment Type	Period #	Tractor	Trailer	Driver	Order Number	Calc Source	Load Factor	ODFamily Id	Customer Id	Lane Volume	Unmatched Freq.
34	1	1	NEWPORT:NEWPORT NO1 WHSE	3.00	NEWPORT	NEWPORT	NEWPORT	TN	37821	00:00	00:00	00:00	10:57	5/17/2021	00:00	00:05	NEWPORT NO1 WHSE		NEWPORT	TN	37821	00:00	00:00	00:00	11:02	5/17/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.92				
34	1	2	OTME.100595407	387.78	NEWPORT NO1 WHSE		NEWPORT	TN	37821	00:00	00:00	00:00	11:02	5/17/2021	00:45	06:56	SONOCO  MORGANFIELD ICD		MORGANFIELD	KY	42437	12:17	00:00	00:00	07:00	5/18/2021	00:45	LOADED	0.00	900.00	0.00	0.00	872.51	872.51	27.49		0					U	0.92	OTME.100595407		0.00	0
34	1	3	SONOCO  MORGANFIELD ICD:SONOCO PROD IPD DIV  C336	3.00	SONOCO  MORGANFIELD ICD		MORGANFIELD	KY	42437	00:00	00:00	00:00	07:45	5/18/2021	00:00	00:05	SONOCO PROD IPD DIV  C336		MORGANFIELD	KY	42437	00:00	00:00	00:00	07:50	5/18/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.92				
34	1	4	OTME.100594450	387.96	SONOCO PROD IPD DIV  C336		MORGANFIELD	KY	42437	00:00	00:00	00:00	07:50	5/18/2021	00:45	06:56	PAPER MILL		NEWPORT	TN	37821	14:59	00:00	00:30	07:00	5/19/2021	00:45	LOADED	0.00	930.00	0.00	0.00	872.92	872.92	57.08		0					U	0.92	OTME.100594450		0.00	0
34	1	5	PAPER MILL:CURBSIDE MANAGEMENT INC	68.30	PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	07:45	5/19/2021	00:00	01:14	CURBSIDE MANAGEMENT INC		ASHEVILLE	NC	28814	00:00	00:00	00:00	08:59	5/19/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	153.68	153.68			0					U	0.92				
34	1	6	OTME.100596805	70.99	CURBSIDE MANAGEMENT INC		ASHEVILLE	NC	28814	00:00	00:00	00:00	08:59	5/19/2021	00:45	01:14	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	10:58	5/19/2021	00:45	LOADED	0.00	602.24	0.00	0.00	159.74	159.74	442.50		0					U	0.92	OTME.100596805		0.00	0
34	1	7	NEWPORT PAPER MILL:NEWPORT	3.00	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	11:43	5/19/2021	00:00	00:05	NEWPORT	NEWPORT	NEWPORT	TN	37821	00:00	00:00	00:00	11:48	5/19/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.92				
8	1	1	NEWPORT:NEWPORT NO1 WHSE	3.00	NEWPORT	NEWPORT	NEWPORT	TN	37821	00:00	00:00	00:00	11:00	5/17/2021	00:00	00:05	NEWPORT NO1 WHSE		NEWPORT	TN	37821	00:00	00:00	00:00	11:05	5/17/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.90				
8	1	2	OTME.100595572	161.18	NEWPORT NO1 WHSE		NEWPORT	TN	37821	00:00	00:00	00:00	11:05	5/17/2021	00:45	03:10	SONOCO  DALTON ICD		DALTON	GA	30721	00:00	00:00	00:00	15:00	5/17/2021	00:45	LOADED	0.00	1300.01	0.00	0.00	362.66	362.66	937.35		0					U	0.90	OTME.100595572		0.00	0
8	1	3	SONOCO  DALTON ICD:CONTINENTAL RECYCLING - WILSON WASTE	29.70	SONOCO  DALTON ICD		DALTON	GA	30721	00:00	00:00	00:00	15:45	5/17/2021	00:00	00:37	CONTINENTAL RECYCLING - WILSON WASTE		ROSSVILLE	GA	30741	00:00	00:00	00:00	16:22	5/17/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	66.83	66.83			0					U	0.90				
8	1	4	OTME.100596559	164.08	CONTINENTAL RECYCLING - WILSON WASTE		ROSSVILLE	GA	30741	14:38	00:00	00:00	07:00	5/18/2021	00:45	02:57	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	10:42	5/18/2021	00:45	LOADED	0.00	1366.01	0.00	0.00	369.19	369.19	996.82		0					U	0.90	OTME.100596559		0.00	0
8	1	5	NEWPORT PAPER MILL:NEWPORT	3.00	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	11:27	5/18/2021	00:00	00:05	NEWPORT	NEWPORT	NEWPORT	TN	37821	00:00	00:00	00:00	11:32	5/18/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.90				
9	1	1	NEWPORT:NEWPORT NO1 WHSE	3.00	NEWPORT	NEWPORT	NEWPORT	TN	37821	00:00	00:00	00:00	11:00	5/17/2021	00:00	00:05	NEWPORT NO1 WHSE		NEWPORT	TN	37821	00:00	00:00	00:00	11:05	5/17/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.90				
9	1	2	OTME.100599712	161.18	NEWPORT NO1 WHSE		NEWPORT	TN	37821	00:00	00:00	00:00	11:05	5/17/2021	00:45	03:10	SONOCO  DALTON ICD		DALTON	GA	30721	00:00	00:00	00:00	15:00	5/17/2021	00:45	LOADED	0.00	1280.01	0.00	0.00	362.66	362.66	917.35		0					U	0.90	OTME.100599712		0.00	0
9	1	3	SONOCO  DALTON ICD:CONTINENTAL RECYCLING - WILSON WASTE	29.70	SONOCO  DALTON ICD		DALTON	GA	30721	00:00	00:00	00:00	15:45	5/17/2021	00:00	00:37	CONTINENTAL RECYCLING - WILSON WASTE		ROSSVILLE	GA	30741	00:00	00:00	00:00	16:22	5/17/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	66.83	66.83			0					U	0.90				
9	1	4	OTME.100598812	164.08	CONTINENTAL RECYCLING - WILSON WASTE		ROSSVILLE	GA	30741	14:38	00:00	00:00	07:00	5/18/2021	00:45	02:57	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	10:42	5/18/2021	00:45	LOADED	0.00	1298.01	0.00	0.00	369.19	369.19	928.82		0					U	0.90	OTME.100598812		0.00	0
9	1	5	NEWPORT PAPER MILL:NEWPORT	3.00	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	11:27	5/18/2021	00:00	00:05	NEWPORT	NEWPORT	NEWPORT	TN	37821	00:00	00:00	00:00	11:32	5/18/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	6.75	6.75			0					U	0.90				
38	1	1	CINCY:RECYCLING EXPRESS - CONT  P P	30.30	CINCY	CINCY	CINCINNATI	OH	45246	00:00	00:00	00:00	06:21	5/17/2021	00:00	00:39	RECYCLING EXPRESS - CONT  P P		FLORENCE	KY	41042	00:00	00:00	00:00	07:00	5/17/2021	00:00	EMPTY	0.00	0.00	0.00	0.00	68.17	68.17			0					U	0.89				
38	1	2	OTME.100593584	288.98	RECYCLING EXPRESS - CONT  P P		FLORENCE	KY	41042	00:00	00:00	00:00	07:00	5/17/2021	00:45	05:07	NEWPORT PAPER MILL		NEWPORT	TN	37821	00:00	00:00	00:00	12:52	5/17/2021	00:45	LOADED	0.00	490.25	0.00	0.00	650.21	650.21	-159.96		0					U	0.89	OTME.100593584		0.00	0
