Trip ID	O_ID	O_Name	O_City	O_State	O_Zip	D_ID	D_Name	D_City	D_State	D_Zip	Loaded Distance	Empty Distance	Total Distance	Load Factor	Total Yield	Total Cost	Net Yield	Net Yield / Mile	Comp. Cost	Savings	Driver Cost	Fuel Cost	Tolls Cost	Blended Cost	Deadhead Cost	Loaded Legs	Empty Legs	Total Legs	Period #	Start Time	End Time	Drive Time	Service Time	Wait Time	Layover Time	Break Time	Elapsed Time	Frequency	Total Load	Fuel Burn	Eq. Type	Status	Last Error	Radius	Tractor	Trailer	Driver 1	Driver 2	Driver Type
289	DALL		HUTCHINS	TX	75141	SDNC		DALLAS	TX	75241	1595.00	11.90	1606.90	0.99	0.00	2843.33	-2843.33	-1.77	3278.08	-3278.08	482.07	754.36	0.00	1606.90	21.05	2	1	3	0	06:14 Mon 2/21/2022	22:08 Tue 2/22/2022	35:47	02:00	01:37	00:00	00:30	39:54	1	0.00	292.16	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop SDNC] exceeded the maximum allowed.	IN					TEAM
30	DALL		HUTCHINS	TX	75141	SDNC		DALLAS	TX	75241	1595.00	11.90	1606.90	0.99	0.00	2843.33	-2843.33	-1.77	3278.08	-3278.08	482.07	754.36	0.00	1606.90	21.05	2	1	3	0	06:14 Mon 2/14/2022	22:08 Tue 2/15/2022	35:47	02:00	01:37	00:00	00:30	39:54	1	0.00	292.16	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop KCMO] exceeded the maximum allowed.	IN					TEAM
143	OLIV		OLIVE BRANCH	MS	38654	OLIV		OLIVE BRANCH	MS	38654	1879.00	17.50	1896.50	0.99	0.00	3355.76	-3355.76	-1.77	3868.86	-3868.86	568.95	890.31	0.00	1896.50	30.96	2	1	3	0	02:07 Wed 2/16/2022	22:52 Thu 2/17/2022	42:09	02:00	00:06	00:00	00:30	44:45	1	0.00	344.82	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop OLIV] exceeded the maximum allowed.	IN					TEAM
402	OLIV		OLIVE BRANCH	MS	38654	OLIV		OLIVE BRANCH	MS	38654	1879.00	17.50	1896.50	0.99	0.00	3355.76	-3355.76	-1.77	3868.86	-3868.86	568.95	890.31	0.00	1896.50	30.96	2	1	3	0	02:07 Wed 2/23/2022	22:52 Thu 2/24/2022	42:09	02:00	00:06	00:00	00:30	44:45	1	0.00	344.82	NONE	Feasible	Wait time between Legs on Continuous Move 0 [31:08] exceeded the maximum allowed	IN					TEAM
85	HAGE		HAGERSTOWN	MD	21740	HAGE		HAGERSTOWN	MD	21740	1854.00	29.40	1883.40	0.98	0.00	3332.58	-3332.58	-1.77	3842.14	-3842.14	565.02	884.16	0.00	1883.40	52.01	2	1	3	0	02:08 Tue 2/15/2022	22:52 Wed 2/16/2022	42:02	02:00	00:12	00:00	00:30	44:44	1	0.00	342.44	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop METU] exceeded the maximum allowed.	IN					TEAM
344	HAGE		HAGERSTOWN	MD	21740	HAGE		HAGERSTOWN	MD	21740	1854.00	29.40	1883.40	0.98	0.00	3332.58	-3332.58	-1.77	3842.14	-3842.14	565.02	884.16	0.00	1883.40	52.01	2	1	3	0	02:08 Tue 2/22/2022	22:52 Wed 2/23/2022	42:02	02:00	00:12	00:00	00:30	44:44	1	0.00	342.44	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop HAGE] exceeded the maximum allowed.	IN					TEAM
412	CHIC		BEDFORD PARK	IL	60638	CHIC		BEDFORD PARK	IL	60638	2195.00	42.30	2237.30	0.98	0.00	3958.79	-3958.79	-1.77	4564.09	-4564.09	671.19	1050.30	0.00	2237.30	74.83	3	1	4	0	06:07 Wed 2/23/2022	13:08 Fri 2/25/2022	49:43	03:00	01:48	00:00	00:30	55:01	1	0.00	406.78	NONE	Feasible	Wait time between Legs on Continuous Move 0 [16:52] exceeded the maximum allowed	IN					TEAM
153	CHIC		BEDFORD PARK	IL	60638	CHIC		BEDFORD PARK	IL	60638	2195.00	42.30	2237.30	0.98	0.00	3958.79	-3958.79	-1.77	4564.09	-4564.09	671.19	1050.30	0.00	2237.30	74.83	3	1	4	0	06:07 Wed 2/16/2022	13:08 Fri 2/18/2022	49:43	03:00	01:48	00:00	00:30	55:01	1	0.00	406.78	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop CHIC] exceeded the maximum allowed.	IN					TEAM
124	TOLE		PERRYSBURG	OH	43551	TOLE		PERRYSBURG	OH	43551	1283.00	38.20	1321.20	0.97	0.00	2337.79	-2337.79	-1.77	2695.25	-2695.25	396.36	620.23	0.00	1321.20	67.58	2	1	3	0	03:23 Wed 2/16/2022	12:03 Thu 2/17/2022	29:22	02:00	00:48	00:00	00:30	32:40	1	0.00	240.22	NONE	Feasible	Number of Layovers at a stop on Continuous Move 0 [Stop ATGA] exceeded the maximum allowed.	IN					TEAM
383	TOLE		PERRYSBURG	OH	43551	TOLE		PERRYSBURG	OH	43551	1283.00	38.20	1321.20	0.97	0.00	2337.79	-2337.79	-1.77	2695.25	-2695.25	396.36	620.23	0.00	1321.20	67.58	2	1	3	0	03:23 Wed 2/23/2022	12:03 Thu 2/24/2022	29:22	02:00	00:48	00:00	00:30	32:40	1	0.00	240.22	NONE	Feasible	Wait time between Legs on Continuous Move 0 [59:39] exceeded the maximum allowed	IN					TEAM
